0.745,2.753,4.115,5.164,2.228,1.165,2.298,3.048,-1.4950129986,-0.8348888755
0.74,2.757,4.073,5.342,2.205,1.179,2.308,3.062,-1.4950129986,-0.8348888755
0.721,2.795,4.073,5.206,2.176,1.142,2.322,3.076,-1.4950129986,-0.8348888755
0.721,2.757,4.068,5.164,2.191,1.165,2.312,3.057,-1.4950436354,-0.8349055648
0.721,2.786,4.078,5.333,2.176,1.198,2.308,3.052,-1.4950335026,-0.8349104524
0.731,2.8,4.087,5.145,2.186,1.184,2.294,3.071,-1.4950335026,-0.8349104524
0.74,2.79,4.101,5.197,2.214,1.17,2.308,3.052,-1.495031476,-0.8349097967
0.731,2.79,4.059,5.192,2.2,1.175,2.308,3.034,-1.495031476,-0.8349097967
0.731,2.795,4.082,5.567,2.158,1.203,2.294,3.043,-1.4950013161,-0.8348550797
0.731,2.757,4.078,5.234,2.209,1.198,2.294,3.048,-1.4949917793,-0.8348633051
0.745,2.772,4.082,5.342,2.214,1.179,2.327,3.062,-1.4949952364,-0.8348843455
0.721,2.781,4.087,5.14,2.176,1.203,2.336,3.052,-1.4949953556,-0.8349285126
0.712,2.786,4.036,5.562,2.228,1.175,2.317,3.029,-1.4949953556,-0.8349285126
0.717,2.786,4.101,5.169,2.181,1.184,2.294,3.052,-1.4949953556,-0.8349285126
0.74,2.776,4.096,5.07,2.191,1.179,2.308,3.066,-1.4950077534,-0.8348985314
0.712,2.767,4.073,5.567,2.172,1.193,2.317,3.038,-1.4950077534,-0.8348985314
0.717,2.762,4.064,5.206,2.176,1.193,2.322,3.066,-1.495016098,-0.8349252939
0.717,2.79,4.096,5.497,2.181,1.175,2.303,3.038,-1.4950275421,-0.8348799944
0.731,2.762,4.035,5.192,2.195,1.207,2.298,3.048,-1.4950143099,-0.8348602057
0.721,2.767,4.078,5.131,2.2,1.212,2.284,3.09,-1.4950153828,-0.8349006176
0.74,2.776,4.059,5.201,2.2,1.184,2.303,3.057,-1.4950089455,-0.8348973989
0.726,2.776,4.064,5.534,2.186,1.189,2.298,3.062,-1.4949939251,-0.834903419
0.736,2.781,4.092,5.201,2.176,1.184,2.312,3.066,-1.4949939251,-0.834903419
0.703,2.767,4.082,5.112,2.195,1.179,2.284,3.029,-1.495000124,-0.834895432
0.726,2.8,4.078,5.136,2.167,1.165,2.327,3.066,-1.495000124,-0.834895432
0.717,2.8,4.064,5.501,2.172,1.142,2.303,3.048,-1.495000124,-0.834895432
0.721,2.79,4.082,5.201,2.181,1.189,2.294,3.038,-1.4950478077,-0.8349209428
0.707,2.772,4.087,5.187,2.172,1.189,2.317,3.062,-1.4950478077,-0.8349209428
0.726,2.767,4.082,5.529,2.176,1.217,2.327,3.029,-1.4950495958,-0.8349078894
0.731,2.822,4.078,5.131,2.195,1.189,2.294,3.099,-1.4950495958,-0.8349078894
0.745,2.79,4.087,5.524,2.214,1.203,2.303,3.071,-1.4950348139,-0.8348799348
0.736,2.772,4.092,5.187,2.176,1.203,2.312,3.043,-1.4950236082,-0.8348886371
0.726,2.762,4.087,5.173,2.172,1.212,2.312,3.048,-1.495010972,-0.8348902464
0.731,2.795,4.059,5.37,2.181,1.193,2.322,3.076,-1.495010972,-0.8348902464
0.707,2.786,4.096,5.155,2.195,1.179,2.284,3.062,-1.4950089455,-0.8348997235
0.717,2.781,4.082,5.178,2.176,1.165,2.303,3.052,-1.4950089455,-0.8348997235
0.74,2.786,4.082,5.136,2.209,1.17,2.312,3.043,-1.4950062037,-0.8348948956
0.717,2.8,4.059,5.529,2.148,1.198,2.28,3.066,-1.4949873686,-0.8349018097
0.75,2.818,4.125,5.361,2.205,1.193,2.298,3.104,-1.4950313568,-0.8348892331
0.717,2.748,4.078,5.277,2.158,1.184,2.308,3.071,-1.4950230122,-0.8348948956
0.717,2.762,4.078,5.197,2.167,1.146,2.317,3.076,-1.4950425625,-0.8349254727
0.736,2.813,4.101,5.305,2.191,1.193,2.303,3.043,-1.4950370789,-0.8348963261
0.712,2.743,4.106,5.352,2.172,1.175,2.303,3.048,-1.4950219393,-0.8349006772
0.745,2.762,4.092,5.253,2.172,1.179,2.303,3.066,-1.4950191975,-0.8349023461
0.717,2.804,4.059,5.169,2.181,1.17,2.298,3.057,-1.4950165749,-0.83488518
0.726,2.804,4.078,5.51,2.195,1.189,2.341,3.071,-1.4950277805,-0.8348926902
0.745,2.776,4.059,5.197,2.191,1.184,2.266,3.038,-1.4950211048,-0.8348923326
0.74,2.8,4.064,5.145,2.172,1.179,2.303,3.038,-1.4949928522,-0.8349010944
0.726,2.79,4.092,5.543,2.205,1.165,2.308,3.057,-1.4950038195,-0.8349014521
0.745,2.818,4.068,5.347,2.191,1.151,2.303,3.052,-1.4950289726,-0.8349158764
0.726,2.795,4.082,5.216,2.186,1.189,2.322,3.019,-1.4950116873,-0.834902823
0.745,2.804,4.073,5.173,2.205,1.212,2.289,3.062,-1.4950035811,-0.8348855376
0.726,2.786,4.078,5.126,2.186,1.189,2.312,3.066,-1.4950304031,-0.8348827958
0.712,2.79,4.078,5.169,2.167,1.184,2.289,3.057,-1.4950127602,-0.8348954916
0.717,2.748,4.082,5.15,2.186,1.179,2.317,3.066,-1.4950065613,-0.8348881602
0.721,2.781,4.082,5.539,2.191,1.156,2.294,3.062,-1.4949959517,-0.834897697
0.75,2.79,4.078,5.571,2.167,1.193,2.308,3.052,-1.4950101376,-0.8349047899
0.712,2.772,4.082,5.15,2.209,1.175,2.298,3.066,-1.4950031042,-0.8349074721
0.717,2.753,4.12,5.366,2.162,1.179,2.331,3.062,-1.4950060844,-0.8348964453
0.74,2.767,4.087,5.131,2.176,1.203,2.331,3.048,-1.4949780703,-0.8348943591
0.721,2.762,4.05,5.356,2.181,1.161,2.308,3.052,-1.4949755669,-0.8349198103
0.717,2.772,4.087,5.192,2.191,1.198,2.303,3.043,-1.4949991703,-0.8349270821
0.707,2.79,4.101,5.192,2.2,1.189,2.312,3.048,-1.4950066805,-0.8349052668
0.74,2.767,4.106,5.492,2.176,1.198,2.308,3.043,-1.49500072,-0.8348784447
0.703,2.776,4.064,5.187,2.181,1.207,2.322,3.038,-1.494992733,-0.8348901868
0.75,2.767,4.064,5.178,2.181,1.193,2.294,3.076,-1.4950128794,-0.834884584
0.736,2.804,4.087,5.098,2.191,1.226,2.317,3.048,-1.4950218201,-0.8348841667
0.74,2.786,4.04,5.164,2.219,1.221,2.303,3.052,-1.4950076342,-0.834895432
0.726,2.767,4.101,5.065,2.181,1.184,2.308,3.066,-1.4950003624,-0.8349016905
0.74,2.781,4.092,5.216,2.158,1.198,2.298,3.034,-1.4950033426,-0.83492136
0.745,2.79,4.092,5.192,2.233,1.193,2.284,3.048,-1.4950016737,-0.8348740935
0.74,2.762,4.082,5.183,2.2,1.161,2.298,3.052,-1.4950045347,-0.8348779082
0.712,2.762,4.087,5.239,2.205,1.193,2.322,3.052,-1.4950134754,-0.8348904252
0.707,2.781,4.05,5.15,2.209,1.17,2.327,3.043,-1.4950101376,-0.8349025249
0.726,2.781,4.096,5.187,2.181,1.198,2.284,3.043,-1.4949948788,-0.8349128962
0.717,2.748,4.082,5.15,2.233,1.193,2.312,3.09,-1.4950137138,-0.8349166512
0.736,2.818,4.073,5.539,2.2,1.161,2.298,3.048,-1.495012641,-0.8348911405
0.74,2.776,4.078,5.169,2.172,1.179,2.308,3.043,-1.4949880838,-0.8349078894
0.721,2.786,4.073,5.122,2.195,1.198,2.308,3.08,-1.4949895144,-0.8349035382
0.759,2.781,4.064,5.211,2.162,1.17,2.289,3.062,-1.4949992895,-0.8349026442
0.721,2.772,4.096,5.15,2.209,1.193,2.312,3.043,-1.4949905872,-0.8349166512
0.717,2.753,4.082,5.159,2.223,1.156,2.294,3.066,-1.4950237274,-0.8348761797
0.721,2.767,4.068,5.178,2.219,1.203,2.303,3.052,-1.4950144291,-0.8348759413
0.712,2.772,4.05,5.164,2.181,1.207,2.308,3.057,-1.4950141907,-0.8348923922
0.721,2.767,4.073,5.028,2.181,1.184,2.289,3.043,-1.4949717522,-0.8349351287
0.707,2.753,4.054,5.192,2.176,1.146,2.317,3.043,-1.4950100184,-0.8349148035
0.74,2.772,4.106,5.501,2.237,1.156,2.312,3.057,-1.4950063229,-0.8348932266
0.745,2.757,4.092,5.295,2.148,1.179,2.308,3.076,-1.4949948788,-0.834954381
0.721,2.772,4.064,5.164,2.195,1.179,2.298,3.038,-1.4950027466,-0.8349462152
0.736,2.804,4.106,5.216,2.2,1.203,2.275,3.057,-1.4950108528,-0.8349373341
0.75,2.804,4.087,5.524,2.162,1.207,2.303,3.038,-1.4950283766,-0.8349158764
0.74,2.795,4.129,5.178,2.186,1.212,2.298,3.057,-1.4950051308,-0.8349122405
0.731,2.748,4.068,5.155,2.195,1.161,2.289,3.076,-1.4949985743,-0.8349363208
0.707,2.772,4.078,5.173,2.195,1.231,2.289,3.024,-1.4949940443,-0.8349072933
0.75,2.757,4.101,5.103,2.195,1.207,2.284,3.071,-1.4949840307,-0.8349139094
0.74,2.786,4.078,5.543,2.167,1.151,2.327,3.076,-1.4949975014,-0.8348742127
0.726,2.786,4.082,5.211,2.205,1.165,2.294,3.024,-1.4950278997,-0.834872663
0.731,2.79,4.068,5.356,2.172,1.156,2.298,3.043,-1.4949883223,-0.8348925114
0.712,2.781,4.05,5.051,2.186,1.175,2.308,3.048,-1.4950051308,-0.8348551393
0.745,2.743,4.092,5.122,2.191,1.184,2.298,3.085,-1.4942969084,-0.835038662
0.74,2.762,4.054,5.169,2.195,1.189,2.317,3.062,-1.4958503246,-0.8348172307
0.764,2.79,4.059,5.524,2.205,1.193,2.312,3.08,-1.4979834557,-0.8344256282
0.721,2.767,4.073,5.117,2.223,1.189,2.303,3.048,-1.4982050657,-0.8343865275
